X,Y,OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SIGNAL_MAINT_DIST,SIGNAL_TYPE,SHAPE_LNG,SHAPE_LAT
-122.32973196726,47.5230508378449,1,18213,1270709.14872,194387.95532,340313,13,78852,GRDWM,4TH AVE S AND S HENDERSON N ST,0, ,NONE,-122.329731968609,47.5230508378271
-122.284744715181,47.633386991789,2,10302,1282581.59341,234414.69508,157936,13,32854,E,WOODROW PL E AND E GARFIELD ST,0, ,NONE,-122.284744716533,47.6333869917716
-122.371401131848,47.6920578247828,3,4716,1261647.53719,256226.49721,37264,13,231740,BLRD,12TH AVE NW AND NW 87TH ST,0, ,NONE,-122.371401133201,47.6920578247644
-122.289175917849,47.6176394792439,4,11483,1281380.58297,228692.21187,30231,13,42513,CNTRL,34TH AVE AND E HOWELL ST,3, ,NONE,-122.2891759192,47.6176394792265
-122.320648456597,47.674000051828,5,6406,1274017.16434,249395.1884,25752,13,14252,NE,NE 63RD ST AND NE RAVENNA EB BV,1, ,NONE,-122.32064845795,47.6740000518103
-122.263467728614,47.5471649433289,6,16530,1287242.23699,202871.12333,33729,13,67744,SE,WILSON AVE S AND S UPLAND RD,2, ,NONE,-122.263467729964,47.5471649433118
-122.360652282471,47.684739611691,7,5330,1264241.25649,253504.86726,24066,13,3124,NW,3RD AVE NW AND NW 77TH ST,3, ,NONE,-122.360652283824,47.6847396116728
-122.305361379531,47.6957485845077,8,4483,1277934.40415,257254.45472,37743,13,234718,NE,RAVENNA AVE NE AND NE 92ND ST,1, ,NONE,-122.305361380885,47.6957485844902
-122.28643425823,47.599642953295,9,12577,1281932.6992,222116.09718,35518,13,146652,CNTRL,LAKESIDE UPPER AVE S AND S LESCHI PL,0, ,NONE,-122.286434259581,47.5996429532776
-122.280735285416,47.5370490055963,10,17255,1282909.08422,199261.56045,34465,13,73318,SE,42ND AVE S AND S OTHELLO ST,2, ,NONE,-122.280735286765,47.537049005579
-122.296116333485,47.6188993313341,11,11382,1279677.896,229184.13661,29288,13,37357,CNTRL,M L KING JR WAY AND E DENNY WAY,3, ,NONE,-122.296116334836,47.6188993313166
-122.338504193847,47.6650353048086,12,7287,1269555.0147,246211.3036,25529,13,13331,LKUN,WOODLAWN AVE N AND N 50TH E ST,1, ,NONE,-122.3385041952,47.6650353047907
-122.388988940839,47.5880894248505,13,13142,1256550.32605,218397.21692,31112,13,48512,SW,45TH AVE SW AND SW MASSACHUSETTS ST,0, ,NONE,-122.388988942189,47.5880894248319
-122.340919001684,47.7304917393323,14,2569,1269427.81035,270094.67182,35732,13,219145,NW,INTERLAKE AVE N AND N 140TH E ST,0, ,NONE,-122.340919003038,47.7304917393143
-122.284863206407,47.5169835901413,15,18655,1281751.56717,191962.907,35386,13,80737,GRDWM,38TH AVE S AND S ROXBURY ST,0, ,NONE,-122.284863207755,47.516983590124
-122.380779123693,47.5210982611932,16,18291,1258084.54148,193925.28575,34745,13,75336,SW,38TH AVE SW AND SW BARTON W ST,2, ,NONE,-122.380779125042,47.5210982611748
-122.344714015314,47.6534059648469,17,8569,1267941.85784,242000.12459,26867,13,22312,LKUN,BRIDGE WAY N AND WOODLAND PK S AVE N,2, ,NONE,-122.344714016666,47.6534059648289
-122.299012561603,47.5854812684953,18,13386,1278731.59379,217010.19279,31436,13,52144,SE,26TH AVE S AND S PLUM ST,0, ,NONE,-122.299012562954,47.5854812684778
-122.303738934861,47.6016692761838,19,12449,1277678.22623,222936.1837,30732,13,45516,CNTRL,22ND AVE AND E YESLER WAY,2, ,NONE,-122.303738936212,47.6016692761662
-122.297760255203,47.7099856985414,20,3522,1279904.74758,262411.02483,36663,13,227318,N,28TH AVE NE AND NE 113TH ST,0, ,NONE,-122.297760256557,47.7099856985239
