X,Y,OBJECTID,COMPKEY,UNITID,UNITDESC,CONDITION,CONDITION_ASSESSMENT_DATE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,COMPTYPE,SEGKEY,UNITTYPE,OLD_ID,APPROACH,MARKING_TYPE,SCHOOL,MIDBLOCK_CROSSWALK,INSTALL_DATE,COLOR,COMMENTS,CATEGORY,OWNERSHIP_DATE,CURRENT_STATUS_DATE,MAINTAINED_BY,MAINTENANCE_AGREEMENT,CURBSPACEID,MAINT_DISTRICT,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT,CROSSWALK_CONTROL,MATERIAL,ONSTREET,XSTRLOW,MEAS_FROM_LOW,DISTTOLOW,STPOINT,XSTRHI,MEAS_FROM_HI,DISTTOHI,OFFSET,SIDE,MEASUREMENT_ORIGIN,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,MAINTENANCE_GROUP,NUM_ATTACHMENTS
1273168.07004973,200316.799623132,1,524284,XWK-3791,S MYRTLE ST 0110 BLOCK C SIDE (  34) 34 FT E/O ELLIS AVE S,GOOD,2014/07/23 00:00:00+00, ,INSVC,DISTRICT2, ,N,16,20910,XWK,Old ID # 934,E,PARSL,N,N,1970/01/01 00:00:00+00,WHT,"ELLIS AVE S & S MYRTLE ST, E",XWK,1970/01/01 00:00:00+00,2008/11/20 00:00:00+00, ,,,SOUTH,,-122.320245519837,47.5394323180327, ,THRPL,S MYRTLE ST,ELLIS AVE S,Y,34,0,DEAD END 4,N,263,0,C,XStreet Centerline,,,,,,,,,,XWK-CD2-YEAR2,0
1257311.78680173,253725.249564543,2,524980,XWK-2145,NW 77TH ST 0250 BLOCK C SIDE (  23) 23 FT W/O 25TH AVE NW,GOOD,2017/08/08 00:00:00+00,SDOT,INSVC,DISTRICT6, ,N,16,18870,XWK,Old ID # 330,W,LADER,Y,N,1970/01/01 00:00:00+00,WHT,"<p>School # 050<br>25 AVE NW &amp; NW 77 ST, W</p><p><br></p><p>Remarked per WO 534614</p>",XWK,1970/01/01 00:00:00+00,2009/01/28 00:00:00+00,SDOT,,,NORTH,,-122.388797283291,47.6849631926555, ,THRPL,NW 77TH ST,25TH AVE NW,Y,23,0,26TH AVE NW,N,241,0,C,XStreet Centerline,,,,,,,,,,XWK-CD6-YEAR1,0
1278980.51085265,244291.241201639,3,523132,XWK-3784,MONTLAKE BLVD NE 0430 BLOCK C SIDE ( 538) 37 FT SW/O NE 44TH ST,GOOD,2019/07/23 00:00:00+00,SDOT,INSVC,DISTRICT4, ,N,16,11912,XWK,Old ID # 932,SW,LADER,N,N,1970/01/01 00:00:00+00,WHT,"MONTLAKE BLVD NE & NE 44 ST, W",XWK,1970/01/01 00:00:00+00,2009/02/09 00:00:00+00, ,,,NORTH,,-122.300110961058,47.6602713794353,SIGNAL,THRPL,MONTLAKE BLVD NE,25TH AVE NE,N,538,0,NE 44TH ST,Y,37,0,C,XStreet Centerline,,,,,,,,,,XWK-CD4-YEAR3,0
1266627.49225165,240644.092656046,4,524008,XWK-203,N 34TH ST 0060 BLOCK C SIDE ( 345) 48 FT W/O FREMONT AVE N,GOOD,2016/08/25 00:00:00+00,SDOT,INSVC,DISTRICT6, ,N,16,15285,XWK,Old ID # 151,W,LADER,N,N,1970/01/01 00:00:00+00,WHT,"2003 CW REMARKING LIST <BR>FREMONT AVE N &amp; N 34 ST, W",XWK,1970/01/01 00:00:00+00,2009/02/10 00:00:00+00,SDOT,,,NORTH,,-122.349937480743,47.6496182556763,SIGNAL,THRPL,N 34TH ST,EVANSTON AVE N,N,345,0,FREMONT AVE N,Y,48,0,C,XStreet Centerline,,,,,,,,,,XWK-CD6-YEAR4,0
1271325.62065065,225843.341417715,5,521935,XWK-2965,8TH AVE 0110 BLOCK C SIDE ( 277) 29 FT SE/O SENECA ST,GOOD,2019/07/23 00:00:00+00,SDOT,INSVC,DISTRICT7, ,N,16,8277,XWK,Old ID # 643,SE,LADER,N,N,1970/01/01 00:00:00+00,WHT,"WI #11125 <br>8 AVE & SENECA ST, S",XWK,1970/01/01 00:00:00+00,2009/01/22 00:00:00+00, ,,,CENTRAL,,-122.329712699165,47.6093020616652, ,THRPL,8TH AVE,SPRING ST,N,277,0,SENECA ST,Y,29,0,C,XStreet Centerline,,,,,,,,,,XWK-CD7-YEAR3,0
1274523.15264139,226188.173077136,6,521037,XWK-1558,12TH AVE 0090 BLOCK C SIDE (   8) 8 FT N/O E MARION ST,GOOD,2019/07/23 00:00:00+00,SDOT,INSVC,DISTRICT3, ,N,16,1534,XWK,Old ID # 194,W,BRICK,N,N,1970/01/01 00:00:00+00,WHT,"WI #29414 10/5/2004 <BR>remark 8/15/08 Half card<BR>School Road<BR><BR>12 AVE &amp; E MARION ST, W",XWK,1970/01/01 00:00:00+00,2009/01/13 00:00:00+00, ,,,CENTRAL,,-122.31677934491,47.610416940022,STOPSIGN,THRPL,12TH AVE,E MARION ST,Y,8,0,E SPRING ST,N,418,0,C,XStreet Centerline,,,,,,,,,,XWK-CD3-YEAR3,0
1267881.51008481,238603.090832546,7,763746,XWK-5981,WESTLAKE EAST RDWY AVE N 0270 BLOCK C SIDE (   0) 0 FT NW/O NEWELL ST,GOOD,1753/09/12 00:00:00+00,SDOT,INSVC,DISTRICT7, ,N,16,13557,XWK,,NW,LADER,N,Y,2016/09/12 00:00:00+00,WHT,Installed with 2016 Westlake Cycle Track project,XWK,2016/09/12 00:00:00+00,2016/09/12 00:00:00+00,SDOT,,,CENTRAL,,-122.34468815339,47.6440915885051, ,THRPL,WESTLAKE EAST RDWY AVE N,NEWELL ST,Y,0,0,SHIP CANAL TRL,N,1537,0,C,XStreet Centerline,,,,,,,,,,XWK-CD7-YEAR1,0
1273451.59080814,240182.102438301,8,523024,XWK-3538,E ALLISON ST 0020 BLOCK C SIDE ( 302) 302 FT E/O EASTLAKE AVE E,GOOD,2017/05/04 00:00:00+00,SDOT,INSVC,DISTRICT3,DISTRICT4,N,16,13805,XWK,Old ID # 841,W,LADER,N,N,1970/01/01 00:00:00+00,WHT,"<p>FRANKLIN AVE &amp; ALLISON ST (HARVARD AVE), W</p><p>Remarked by WO 517621</p>",XWK,1970/01/01 00:00:00+00,2009/01/14 00:00:00+00,SDOT,,,CENTRAL,,-122.322220241527,47.6487172516799, ,THRPL,E ALLISON ST,EASTLAKE AVE E,Y,302,0,HARVARD AVE E,N,30,0,C,XStreet Centerline,,,,,,,,,,XWK-CD3-YEAR1,0
1269653.2234049,226772.837918296,9,630800,XWK-5625,5TH AVE 0160 BLOCK C SIDE (  38) 38 FT NW/O PINE ST, ,1970/01/01 00:00:00+00, ,INSVC,DISTRICT7, ,N,16,7239,XWK,,N,LADER,N,N,1970/01/01 00:00:00+00, ,,XWK,1970/01/01 00:00:00+00,2018/05/11 00:00:00+00, ,,,CENTRAL,,-122.336564859284,47.611760434461,SIGNAL,THRPL,5TH AVE,PINE ST,Y,38,0,OLIVE WAY,N,388,0,C,XStreet Centerline,,,,,,,,,,XWK-CD7-YEAR2,0
1266016.67424756,228497.024758637,10,581914,XWK-5196,1ST AVE 0270 BLOCK C SIDE ( 271) 35 FT SE/O CLAY ST,GOOD,2014/07/01 00:00:00+00,SDOT,INSVC,DISTRICT7, ,N,16,1019,XWK,,SE,LADER,N,N,2012/12/13 00:00:00+00,WHT,,XWK,2012/12/13 00:00:00+00,2012/12/13 00:00:00+00,SDOT,,,CENTRAL,,-122.351443042061,47.6162906719259, ,THRPL,1ST AVE,CEDAR ST,N,271,0,CLAY ST,Y,35,0,C,XStreet Centerline,,,,,,,,,,XWK-CD7-YEAR4,0
