X,Y,OBJECTID,FEATURE_ID,NAME,ADDRESS,ZIP,INVENTORY_ID,DISTRICT,OWNERSHIP_TYPE,OWNER,REG_SPACES,ACCESSIBLE,XCOORD,YCOORD,LONGITUDE,LATITUDE,ADDRESS_NUM,ON_PREFIX,ON_STNAME,ON_STYPE,ON_SUFFIX,CROSS_PREFIX,CROSS_STNAME,CROSS_STYPE,CROSS_SUFFIX
-122.219875832821,47.4789699215205,1,570003,Fred Meyer P&R,365 Renton Center Way SW,98057,533,S,L, ,21,0,1297558,177803,-122.21987816,47.4789679,365, ,Renter Center,Way,SW, , , , 
-122.460257165664,47.4519420769233,2,570013,Ober Park Annex (Vashon Parks Dept)  P&R,17130 Vashon Hwy SW,98070,737.1,S,L, ,9,0,1237917.26199,169110.160004,-122.46025965,47.45194041,17106, ,Vashon,Hwy,SW, , , , 
-122.305197522507,47.3179199544457,3,570032,Federal Way Transit Center P&R,31621 23rd Ave S,98003,877,S,P,ST,1190,0,1275339,119460,-122.30520076,47.31791812,31621, ,23rd,Ave,S,S,317th,St, 
-122.257490148639,47.302090406672,4,570095,Peasley Canyon Rd/West Valley Hwy P&R,Peasley Canyon Rd/West Valley Hwy,98001,739,S,P,S,54,0,1287063.99993,113464.226938,-122.25749347,47.30208848,0, ,Peasley Canyon,Rd, , ,West Valley,Hwy, 
-122.233313214208,47.3851571738391,5,570105,Kent Station Surface Lot P&R,400 1st Ave N,98032,872.1,S,P,ST,119,0,1293613.14,143649.16,-122.23331607,47.38515519,301, ,Railroad,Ave,N, , , , 
-122.227516184867,47.577347670921,6,570112,Mercer Island Presbyterian Church P&R,3605 84th Ave SE,98040,511,E,L, ,14,0,1296319,213716,-122.22751805,47.57734568,3605, ,84th,Ave,SE, ,36th,Ave,SE
-122.225240646585,47.5414890355953,7,570115,South Mercer Center - Mercer Island QFC P&R,8421 SE 68th St,98040,516,E,L, ,21,0,1296644,200628,-122.22524267,47.54148704,8421, ,68th,St,,,,, 
-122.035924190204,47.5822652877481,8,570133,South Sammamish P&R,3015 228th Ave SE,98074,761,E,P,KC,265,0,1343629.6114,214711.743621,-122.03592592,47.58226289,3015,,228th,Ave,NE,,Issaquah Pine Lake,,
-122.337073842192,47.4701555335959,9,570137,Burien TC P&R,14900 4th Ave SW,98166,732,S,P,P,588,0,1268518.47,175132.64,-122.33707623,47.4701537,14900,,4th,Ave,SW,SW,148th,St,
-122.183929620996,47.5069218691,10,570138,St Matthew Lutheran P&R,2516 NE 16th St,98056,640,S,L,S,128,0,1306624.64,187839.25,-122.18393178,47.50691977,2516,NE,16th,St,,,,,
-122.061835628112,47.5418088090116,11,570071,Issaquah Transit Center P&R,1050 17th Ave NW,98027,818,E,P,ST,819,0,1336999.90677,200057.523818,-122.06183757,47.54180644,1050,,17th,Ave,NW,NW,Maple,St,
-122.198360315112,47.7293126695348,12,570073,Korean Covenant Church P&R,14220 Juanita Woodinville Way NE,98034,597,E,L,,30,0,1304497.35811,269009.90305,-122.19836147,47.72931065,14220,,Juanita Woodinville ,Way,NE,NE,142nd,St,
-122.333722334084,47.4530202992482,13,570075,Burien Church of God P&R,16640 1st Ave S,98148,598,S,L,,20,0,1269225.39227,168867.312143,-122.33372482,47.45301847,16640,,1st ,Ave,S,S,168th,St,
-122.336843789354,47.7561194106225,14,570076,Aurora Community Church of the Nazarene P&R,1900 N 175th St,98155,576,N,L,,116,0,1270613.14084,279421.403095,-122.33684488,47.75611769,1900,N,N 175th,St,,,20th ,Pl,NE
-122.231663189973,47.5885669270077,15,570078,Mercer Island P&R,7800 N Mercer Way,98040,830,E,P,ST,447,0,1295369.94826,217826.286459,-122.23166501,47.58856495,7800,N,Mercer,Way,,,78th,Ave,SE
-122.212267311952,47.2460626850628,16,570082,Sunset Park,1306 69th St SE,98092,564,S,L,,10,,1297917,92826,-122.21227092,47.24606069,1306,,69th,St,SE,,Lakeland Hills,Way,SE
-122.228374271728,47.2622455562414,17,570081,Family Life Center - Church of God P&R,116 Lakeland Hills Way SE,98092,565,S,L,,27,,1294023.79015,98800.147998,-122.22837781,47.26224356,116,,Lakeland Hills,Way,SE,E,Valley,Hwy,
-122.100833354963,47.6735305764784,18,570086,Bear Creek P&R,7760 178th Pl NE,98052,712,E,P,KC,283,0,1328160.38763,248254.727196,-122.10083469,47.67352838,7760, ,178th,Pl,NE, , , , 
