X,Y,OBJECTID,COMPKEY,UNITID,UNITDESC,CONDITION,CONDITION_ASSESSMENT_DATE,CURRENT_STATUS,OWNERSHIP,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,COMPTYPE,CURRENT_STATUS_DATE,INSTALL_DATE,INSTALL_PURPOSE,INTKEY,LANDSCAPING,MAINTAINED_BY,MAINTENANCE_AGREEMENT,NO_LAND_REASON,OVERRIDECOMMENT,OVERRIDEYN,OWNERSHIP_DATE,SDOT_INITIATED,SEWER_ACCESS_COVER,TRCSIZE,SURVEY_MONUMENT,TRCSHAPE,UNITTYPE,SHAPE_LNG,SHAPE_LAT
1258588.1352696,210475.502411589,1,509338,TRC-601,38TH AVE SW AND SW DAKOTA ST                                                                                                                                                                                                                                   ,GOOD,2009/09/15 00:00:00+00,INSVC,SDOT,DISTRICT1, ,16,2009/10/14 00:00:00+00,2000/05/16 00:00:00+00, ,31889,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.380087590466,47.5664891278614
1266982.78814219,260074.185342371,2,509566,TRC-934,FREMONT AVE N AND N 102ND ST                                                                                                                                                                                                                                   ,GOOD,2009/09/09 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/10/14 00:00:00+00,1996/01/02 00:00:00+00, ,37392,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.350049824146,47.7028943917932
1274207.08011758,254314.130296469,3,508937,TRC-784,8TH AVE NE AND NE 81ST ST                                                                                                                                                                                                                                      ,GOOD,2009/08/03 00:00:00+00,INSVC,SDOT,DISTRICT4, ,16,2009/10/14 00:00:00+00,1991/03/20 00:00:00+00, ,24389,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,16,N,CRC,TRC,-122.320263484453,47.6874927922948
1278436.84133792,217535.101458818,4,509329,TRC-422,25TH AVE S AND S GRAND ST                                                                                                                                                                                                                                      ,GOOD,2009/09/21 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,2003/02/10 00:00:00+00, ,31416,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,OTHER,TRC,-122.300247258786,47.5869046442829
1280848.15871638,255438.451193631,5,509639,TRC-542,32ND AVE NE AND NE 86TH ST                                                                                                                                                                                                                                     ,GOOD,2009/09/15 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/10/14 00:00:00+00,1999/06/29 00:00:00+00, ,37684,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.293391673884,47.6909231112476
1261891.51485698,237963.854887724,6,509211,TRC-816,9TH AVE W AND W HALLADAY ST                                                                                                                                                                                                                                    ,GOOD,2009/09/14 00:00:00+00,INSVC,SDOT,DISTRICT7, ,16,2009/10/14 00:00:00+00,1997/05/15 00:00:00+00, ,27904,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.368931097715,47.6420144067831
1257900.26301289,199255.554688096,7,509485,TRC-622,39TH AVE SW AND SW WEBSTER ST                                                                                                                                                                                                                                  ,GOOD,2009/09/24 00:00:00+00,INSVC,SDOT,DISTRICT1, ,16,2009/10/14 00:00:00+00,1994/02/23 00:00:00+00, ,33817,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.381958845658,47.5356980313462
1275720.59973514,221754.526743129,8,509294,TRC-217,16TH AVE S AND S KING ST                                                                                                                                                                                                                                       ,FAIR,2009/09/21 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1980/10/29 00:00:00+00, ,30761,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.311580474748,47.5983275587497
1273853.82789323,231254.174112856,9,509458,TRC-101,10TH AVE E AND E MERCER ST                                                                                                                                                                                                                                     ,GOOD,2009/09/10 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1995/05/09 00:00:00+00, ,29002,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.31988902204,47.6242673355149
1273264.28805262,232205.871969834,10,509728,TRC-969,HARVARD AVE E AND E ALOHA ST                                                                                                                                                                                                                                   ,GOOD,2009/08/03 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1990/03/12 00:00:00+00, ,28979,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.32235390814,47.6268446727558
1272403.74942774,228390.714909926,11,509767,TRC-1060,SUMMIT AVE AND E OLIVE ST                                                                                                                                                                                                                                      ,GOOD,2009/09/24 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1970/01/01 00:00:00+00, ,29857,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.325543045951,47.6163417309546
1258478.23363748,195755.684092507,12,509615,TRC-588,37TH AVE SW AND SW CLOVERDALE ST                                                                                                                                                                                                                               ,GOOD,2009/09/21 00:00:00+00,INSVC,SDOT,DISTRICT1, ,16,2009/10/14 00:00:00+00,1970/01/01 00:00:00+00, ,34699,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.379334937461,47.5261369605028
1278877.56716236,257226.281275451,13,509730,TRC-420,25TH AVE NE AND NE 92ND ST                                                                                                                                                                                                                                     ,GOOD,2009/07/27 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/10/14 00:00:00+00,1985/04/29 00:00:00+00, ,37646,N,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.301529975743,47.6957207527103
1263582.06525871,253516.275895655,14,509636,TRC-762,6TH AVE NW AND NW 77TH ST                                                                                                                                                                                                                                      ,GOOD,2009/06/23 00:00:00+00,INSVC,SDOT,DISTRICT6, ,16,2009/10/14 00:00:00+00,1983/01/25 00:00:00+00, ,24067,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.363328898685,47.684734987566
1266255.61207744,252937.436151057,15,509127,TRC-873,DAYTON AVE N AND N 75TH ST                                                                                                                                                                                                                                     ,GOOD,2009/09/14 00:00:00+00,INSVC,SDOT,DISTRICT6, ,16,2009/10/14 00:00:00+00,1997/05/15 00:00:00+00, ,24307,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.352430408933,47.6832936105431
1287217.5101469,192596.006969273,16,509835,TRC-735,56TH AVE S AND S FLETCHER ST                                                                                                                                                                                                                                   ,GOOD,2009/09/24 00:00:00+00,INSVC,SDOT,DISTRICT2, ,16,2009/10/14 00:00:00+00,1985/06/21 00:00:00+00, ,35467,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.262795064604,47.5189993987081
1269381.74891265,245423.366575375,17,508972,TRC-1091,WOODLAWN AVE N AND N 47TH ST                                                                                                                                                                                                                                   ,GOOD,2009/09/12 00:00:00+00,INSVC,SDOT,DISTRICT4, ,16,2009/10/14 00:00:00+00,1995/05/31 00:00:00+00, ,25560,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.339144662755,47.6628663083319
1266989.32683019,260602.610814914,18,509746,TRC-936,FREMONT AVE N AND N 104TH ST                                                                                                                                                                                                                                   ,FAIR,2009/09/15 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/10/14 00:00:00+00,2002/05/24 00:00:00+00, ,37381,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.350065568105,47.7043431318449
1277986.74085745,269171.393863693,19,510774,TRC-1095,22ND AVE NE AND NE 137TH ST                                                                                                                                                                                                                                    ,FAIR,2009/11/18 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/11/18 00:00:00+00,1970/01/01 00:00:00+00,SAFETY,36097,Y,SDOT,, ,,N,2009/11/18 00:00:00+00,N,N,0,N,OVAL,TRC,-122.306074917154,47.7284153916824
1266282.83153348,256919.290427133,20,509854,TRC-882,DAYTON AVE N AND N 90TH ST                                                                                                                                                                                                                                     ,GOOD,2009/09/24 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/10/14 00:00:00+00,1981/08/21 00:00:00+00, ,37440,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.352639047131,47.6942091401304
1271548.05560286,243585.718317494,21,509455,TRC-1062,SUNNYSIDE AVE N AND N 42ND ST                                                                                                                                                                                                                                  ,GOOD,2009/09/10 00:00:00+00,INSVC,SDOT,DISTRICT4, ,16,2009/10/14 00:00:00+00,1994/06/24 00:00:00+00, ,27212,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.330210083757,47.6579452351017
1284366.74188799,245877.02903983,22,509017,TRC-683,46TH AVE NE AND NE 50TH ST                                                                                                                                                                                                                                     ,GOOD,2009/07/27 00:00:00+00,INSVC,SDOT,DISTRICT4, ,16,2009/10/14 00:00:00+00,1986/04/23 00:00:00+00, ,26168,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.278378599778,47.6648973565771
1269698.09374496,267007.122309476,23,509504,TRC-821,ASHWORTH AVE N AND N 128TH ST                                                                                                                                                                                                                                  ,GOOD,2009/05/12 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/10/14 00:00:00+00,1993/11/17 00:00:00+00, ,35765,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.339575391422,47.7220434236394
1275942.01759136,230416.452319995,24,509515,TRC-196,16TH AVE E AND E HARRISON ST                                                                                                                                                                                                                                   ,GOOD,2009/06/22 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1970/01/01 00:00:00+00, ,29359,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.311357444337,47.62208141625
1263657.03594679,257644.358203888,25,509739,TRC-770,6TH AVE NW AND NW 92ND ST                                                                                                                                                                                                                                      ,GOOD,2009/06/23 00:00:00+00,INSVC,SDOT,DISTRICT6, ,16,2009/10/14 00:00:00+00,1982/01/28 00:00:00+00, ,37152,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.363357771518,47.6960539012599
1257865.48419686,197942.569470748,26,509424,TRC-617,39TH AVE SW AND SW KENYON ST                                                                                                                                                                                                                                   ,GOOD,2009/09/14 00:00:00+00,INSVC,SDOT,DISTRICT1, ,16,2009/10/14 00:00:00+00,2000/01/20 00:00:00+00, ,33837,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.381992653852,47.5320973033585
1266636.49713384,257571.596859813,27,509748,TRC-918,EVANSTON AVE N AND N 92ND ST                                                                                                                                                                                                                                   ,FAIR,2009/09/04 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/10/14 00:00:00+00,1992/04/21 00:00:00+00, ,37431,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.351255474379,47.6960162096615
