OBJECTID,STNAME,COUNT_LOCATION,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID
17793,E BOSTON ST,"E BOSTON ST, W/O 11TH AVE E",2017,13859,6235,324780
27025,E PINE ST,"E PINE ST, W/O 12TH AVE",2018,14637,8763,325408
20123,M L KING JR WAY E,"M L KING JR WAY E, N/O E JOHN ST",2017,11496,8706,325994
35281,EASTLAKE AVE E,"EASTLAKE AVE E, N/O THOMAS ST",2018,10164,8988,327101
44585,SW HENDERSON ST,"SW HENDERSON ST, E/O 11TH AVE SW",2018,22292,6295,325455
39118,NE RAVENNA EB BV,"NE RAVENNA EB BV, E/O BROOKLYN AVE NE",2018,18070,3866,325428
898,EAST GREEN LAKE WAY N,"EAST GREEN LAKE WAY N, E/O SUNNYSIDE AVE N",2017,14080,12342,325810
33200,3RD AVE,"3RD AVE, NW/O MADISON ST",2017,4379,11974,324002
31642,16TH AVE SW,"16TH AVE SW, N/O SW ROXBURY ST",2018,2350,4283,325448
11579,NE RAVENNA EB BV,"NE RAVENNA EB BV, E/O 11TH AVE NE",2018,18068,4187,326181
12327,S BAILEY ST,"S BAILEY ST, E/O ELLIS AVE S",2017,19419,10186,325951
20945,S ORCAS ST,"S ORCAS ST, E/O 51ST AVE S",2017,21000,2484,325849
34956,LENORA ST,"LENORA ST, NE/O 5TH AVE",2017,11371,4504,324545
27357,MERIDIAN AVE N,"MERIDIAN AVE N, N/O N 117TH ST",2018,11830,7840,325493
8326,35TH AVE SW,"35TH AVE SW, S/O SW THISTLE ST",2017,5478,20772,326329
32775,NE RAVENNA EB BV,"NE RAVENNA EB BV, SE/O NE 65TH ST",2018,18062,7728,325101
9063,ROY ST,"ROY ST, E/O 3RD AVE N",2017,12683,5566,325929
21203,SEWARD PARK AVE S,"SEWARD PARK AVE S, NW/O 56TH N AVE S",2017,12791,860,326287
33316,CONDON WAY W,"CONDON WAY W, NW/O W NEWTON ST",2018,9745,969,325628
44399,S HENDERSON ST,"S HENDERSON ST, W/O SEWARD PARK AVE S",2018,20246,4408,325105
41594,E PINE ST,"E PINE ST, W/O 15TH AVE",2018,14640,6589,325461
882,FAUNTLEROY WAY SW,"FAUNTLEROY WAY SW, S/O SW MYRTLE ST",2017,10407,10467,326219
15082,WALLINGFORD AVE N,"WALLINGFORD AVE N, N/O N 88TH ST",2017,13390,10677,324815
46483,BRIDGE WAY N,"BRIDGE WAY N, SW/O N 39TH E ST",2018,9406,12557,326768
23975,SW CHARLESTOWN ST,"SW CHARLESTOWN ST, E/O 52ND W AVE SW",2017,337247,2771,324656
8560,MAYNARD AVE S,"MAYNARD AVE S, S/O S CHARLES ST",2017,11705,6667,324903
41541,VALLEY ST,"VALLEY ST, E/O 6TH AVE N",2018,13262,2981,325581
46253,3RD AVE NW,"3RD AVE NW, S/O NW 95TH ST",2018,4484,7626,326136
34936,SEWARD PARK AVE S,"SEWARD PARK AVE S, SE/O OAKHURST N RD S",2017,12794,2308,325845
29700,MAGNOLIA BLVD W,"MAGNOLIA BLVD W, N/O W GARFIELD ST",2018,11607,9620,325560
35692,1ST AVE,"1ST AVE, SE/O SENECA ST",2017,1005,13733,326395
38482,N 45TH ST,"N 45TH ST, E/O WHITMAN E AVE N",2018,15538,1506,324999
13988,S HARDY ST,"S HARDY ST, NE/O STANLEY AVE S",2017,20209,4581,325891
23566,NE RAVENNA WB BV,"NE RAVENNA WB BV, NW/O 17TH AVE NE",2018,18094,3542,325431
14884,S WALKER ST,"S WALKER ST, E/O 25TH AVE S",2017,21460,2398,325986
11913,S ROYAL BROUGHAM WAY,"S ROYAL BROUGHAM WAY, W/O 4TH AVE S",2017,21216,4099,325705
4637,M L KING JR WAY,"M L KING JR WAY, N/O E MARION ST",2017,11488,15115,326062
12226,15TH AVE NE,"15TH AVE NE, N/O NE 40TH ST",2017,2029,8502,325640
2740,28TH AVE W,"28TH AVE W, N/O W BERTONA ST",2017,4250,3095,324754
21537,5TH AVE NE,"5TH AVE NE, N/O NE 85TH ST",2017,7320,11275,326291
3125,NE 85TH ST,"NE 85TH ST, E/O 39TH AVE NE",2018,17726,2470,325631
20940,S ROYAL BROUGHAM WAY,"S ROYAL BROUGHAM WAY, E/O 1ST AVE S",2017,21214,2812,325709
9407,N 45TH ST,"N 45TH ST, E/O BURKE AVE N",2017,15549,26666,325835
17852,HARBOR AVE SW,"HARBOR AVE SW, N/O SW SPOKANE NR ST",2017,10821,17728,325421
31638,15TH AVE NE,"15TH AVE NE, S/O NE 80TH ST",2017,2057,7883,325646
44135,YALE AVE,"YALE AVE, NW/O HOWELL ST",2017,13737,16571,326239
2774,4TH AVE S,"4TH AVE S, S/O S SPOKANE SR ST",2018,6247,34537,326365
20177,FLORENTIA ST,"FLORENTIA ST, E/O NICKERSON ST",2017,10461,3683,326231
3106,11TH AVE W,"11TH AVE W, N/O W DRAVUS ST",2017,1502,3210,325955
43792,E UNION ST,"E UNION ST, E/O 30TH AVE",2017,14907,4931,325992
43576,ELLIS AVE S,"ELLIS AVE S, S/O S MYRTLE ST",2017,10232,10311,325919
46230,NE 45TH ST,"NE 45TH ST, E/O 5TH AVE NE",2018,16843,33004,326474
29829,23RD AVE,"23RD AVE, N/O E OLIVE N ST",2017,3367,18883,325900
32789,48TH AVE SW,"48TH AVE SW, SW/O SW HOLLY ST",2017,7159,2372,324876
32811,S INDUSTRIAL EB WAY,"S INDUSTRIAL EB WAY, SE/O 4TH AVE S",2017,20458,4686,324556
11830,1ST AVE,"1ST AVE, S/O CHERRY ST",2017,1000,12475,326383
27204,QUEEN ANNE AVE N,"QUEEN ANNE AVE N, N/O MERCER ST",2017,12299,10661,325385
4807,AIRPORT WAY S,"AIRPORT WAY S, NW/O S ROYAL BROUGHAM WAY",2018,8655,11149,326611
27374,S HARDY ST,"S HARDY ST, E/O 13TH AVE S",2017,20208,1615,324574
20164,NW 54TH ST,"NW 54TH ST, W/O 30TH WR AVE NW",2018,274363,7880,325726
33049,W MCGRAW ST,"W MCGRAW ST, W/O 1ST AVE W",2018,23551,7149,325555
35591,WATERS ER AVE S,"WATERS ER AVE S, NW/O S NORFOLK ST",2018,166440,1842,325551
9606,CALIFORNIA AVE SW,"CALIFORNIA AVE SW, S/O SW ALASKA ST",2017,9554,11211,325822
15710,SW WILDWOOD PL,"SW WILDWOOD PL, E/O 45TH AVE SW",2018,22991,5618,325508
20174,1ST AVE N,"1ST AVE N, S/O ROY ST",2017,1030,4435,324420
38770,ROOSEVELT WAY NE,"ROOSEVELT WAY NE, S/O NE 66TH ST",2017,12615,11330,324674
4089,S CLOVERDALE ST,"S CLOVERDALE ST, W/O 5TH AVE S",2017,19645,13551,326021
9787,S SPOKANE SR ST,"S SPOKANE SR ST, W/O EAST MARGINAL WAY S",2017,21322,6494,324412
9416,NW MARKET ST,"NW MARKET ST, NW/O 3RD AVE NW",2017,19217,21978,325683
9225,FLORENTIA ST,"FLORENTIA ST, E/O QUEEN ANNE E AVE N",2017,10456,4535,325953
12357,NE RAVENNA EB BV,"NE RAVENNA EB BV, E/O ROOSEVELT WAY NE",2018,18067,4764,325427
371,16TH AVE SW,"16TH AVE SW, N/O SW HOLDEN ST",2017,2339,15469,325921
34982,15TH AVE NE,"15TH AVE NE, S/O NE 55TH ST",2017,2038,12473,325662
15372,NE 65TH ST,"NE 65TH ST, E/O 48TH AVE NE",2017,17307,4343,324399
