OBJECTID,COMPKEY,COMPTYPE,UNITID,DESCRIPTION,UNITDESC,SEGKEY,INTKEY,INT_UNITID,SIGNAL_TYPE,SIGNAL_MAINT_DIST,INSTALL_DATE,ADDDTTM,MODDTTM,OWNERSHIP,CONDITION,CONDITION_ASSESSMENT_DATE,CURRENT_STATUS,CURRENT_STATUS_DATE,ARTERIAL_CLASS,MAINT_AGREE,MAINT_BY,INT_SIGNAL_TYPE_CD,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,PEDAUDIODEVICEYN,PEDSIGNALYN,PH_MODELTYPE,PP_MODELTYPE,PP_QUANTITY,PEDHDFIRSTINSTALLDT,PH_QUANTITY,PEDAUDIOINSTALLDT,BIKESIGNALHDYN,ASBLT,HALFSIGNALYN,METEREDYN,LTTURNSIGNALYN,LTPROTECTEDPERMYN,LTPROTECTEDYN,RTTURNSIGNALYN,RTPROTECTEDPERMYN,RTPROTECTEDYN,LTFIRSTINSTALLDT,LTREMOVEDT,RTFIRSTINSTALLDT,RTREMOVEDT,DETDEVSTOPBARYN,DETDEVADVANCEDYN,DETDEVSYSTEMYN,CABMODELTYPECD,COMCONNTYPECD,MMUMODELTYPECD,PE_MODELTYPE,PI_MODELTYPE,INSTALLERCD,JOINTOWNERSHIPYN,CO_MODELTYPE,MMUMANCD,MMUINSTALLDT,LASTSIGNALOPTDT,PEDPSHINSTALLDT,NUM_ATTACHMENTS
1,272753,74,SGL-278,0,GREENWOOD AVE N AND N 80TH ST                                                                                                                                                                                                                                  ,1,24282,4521,SEMI,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:06+00,2019/02/15 00:00:00+00,SDOT,GOOD,2008/03/06 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT6, ,N,N,LEDCD,,,1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,Y,Y,N,N,N,N,2011/10/06 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,Y,N,N,3TS1, ,NSM-12,,, ,N,"LC8000, LMD9200",EDI,2019/02/12 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
2,272754,74,SGL-669,0,7TH AVE AND WESTLAKE AVE                                                                                                                                                                                                                                       ,1,29542,39139,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:06+00,2020/07/02 00:00:00+00,SDOT,GOOD,2008/09/18 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,LEDCD,,,1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,NSM-12,OPT,, ,Y,"M34,  , M52, M60-ATC, M60-ATC",EDI,2020/03/05 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
3,272755,74,SGL-178,0,2ND AVE AND BROAD ST                                                                                                                                                                                                                                           ,1,29666,39521,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:06+00,2020/04/06 00:00:00+00,SDOT,POOR,2008/08/29 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,LEDCD,NAV-2W-PPB,8,1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS2-Type1,FIBER,MMU-16LEip,,, ,Y,"M34, M60",EDI,2020/04/04 00:00:00+00,1970/01/01 00:00:00+00,2018/01/11 00:00:00+00,0
5,272757,74,SGL-022,0,DEARBORN OFF RP AND S DEARBORN ST                                                                                                                                                                                                                              ,1,30444,44306,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:07+00,1970/01/01 00:00:00+00,WSDOT, ,1970/01/01 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,STATE,DISTRICT2, ,N,N,,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N, , , ,,, ,,, ,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
6,272758,74,SGL-75,0,4TH AVE AND PIKE ST                                                                                                                                                                                                                                            ,1,29589,39315,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:07+00,2020/06/30 00:00:00+00,SDOT,FAIR,2008/09/08 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,"LED, LEDCD",,,1970/01/01 00:00:00+00,"8, 8",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS2,COPPER,MMU2-16LEi,,, ,N,"M34,  ,  , M52, M52, M52",EDI,2020/03/24 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
7,272759,74,SGL-249,0,20TH AVE NW AND NW MARKET ST                                                                                                                                                                                                                                   ,1,25152,11304,PRE,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:07+00,2019/05/30 00:00:00+00,SDOT,POOR,2008/07/15 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT6, ,N,N,"NEON, LED",,,1970/01/01 00:00:00+00,"15, 1",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,6TS2,FIBER,MMU-16LEip,EMER,,SDOT,N,"LC40, M34, M52",EDI,2019/05/23 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
8,272760,74,SGL-263,0,AURORA AVE N AND WINONA AVE N                                                                                                                                                                                                                                  ,1,24312,4701,SEMI,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:07+00,2019/03/18 00:00:00+00,SDOT,POOR,2008/07/09 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT6, ,N,N,LED,"STD, NONSTD","8, 1",1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,Y,Y,N,N,N,N,2006/05/11 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,Y,Y,Y,6TS2,FIBER,MMU2-16LEi,,, ,Y,"M34, M52, M52, M52, M52",EDI,2019/03/16 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,18
9,272761,74,SGL-148,0,8TH AVE AND BLANCHARD ST                                                                                                                                                                                                                                       ,1,29521,39118,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:08+00,2020/06/24 00:00:00+00,SDOT,POOR,2008/09/22 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT7, ,N,N,NEON,,,1970/01/01 00:00:00+00,16,1970/01/01 00:00:00+00,N,,N,Y,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS2,WIRELESS,MMU-16LEip,EMER,, ,N,"M34,  , M34, M52, M52",EDI,2020/06/22 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
10,272762,74,SGL-679,0,BELLEVUE AVE AND E DENNY WAY                                                                                                                                                                                                                                   ,1,29164,36756,SEMI,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:08+00,2019/10/17 00:00:00+00,SDOT,FAIR,2008/08/19 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT3, ,N,N,LEDCD,STD,4,2014/03/20 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,LSM6,,, ,Y,"M34,  ",EDI,2019/09/27 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,12
11,272763,74,SGL-270,0,AURORA AVE N AND N NORTHGATE WAY                                                                                                                                                                                                                               ,1,36360,225323,SEMI,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:08+00,2019/05/31 00:00:00+00,SDOT,FAIR,2008/07/11 00:00:00+00,INSVC,2011/03/11 00:00:00+00,1,, ,CITY,DISTRICT5, ,Y,N,LEDCD,STD,8,1970/01/01 00:00:00+00,8,2008/12/16 00:00:00+00,N,,N,N,Y,N,Y,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,Y,Y,6TS2,FIBER,MMU2-16LEi,EMER,, ,Y,"M34, M52, M52",EDI,2019/05/25 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,32
